Swatch Name,C,M,Y,K
White,0,0,0,0
Pale Gray,0,0,0,0.08
Pale Cyan,0.15,0,0,0
Pale Magenta,0,0.15,0,0
Pale Yellow,0,0,0.2,0
Light Gray,0,0,0,0.25
Light Cyan,0.4,0,0,0
Light Magenta,0,0.4,0,0
Light Yellow,0,0,0.5,0
Pale Purple,0.2,0.2,0,0
Pale Orange,0,0.2,0.4,0
Pale Green,0.2,0,0.25,0
Gray,0,0,0,0.4
Dark Cyan,0.6,0,0,0
Dark Magenta,0,0.6,0,0
Dark Yellow,0,0,0.8,0
Light Purple,0.35,0.35,0,0
Light Orange,0,0.4,0.6,0
Light Green,0.45,0,0.5,0
Pale Brown,0.1,0.1,0.3,0.5
Dark Green,0.65,0,0.7,0
Dark Orange,0,0.65,0.65,0
Light Brown,0.25,0.25,0.45,0.1
Dark Purple,0.65,0.65,0,0
Dark Brown,0.4,0.4,0.65,0.1
